C:\Users\cjw11\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\pydantic\_internal\_config.py:322: UserWarning: Valid config keys have changed in V2:
* 'orm_mode' has been renamed to 'from_attributes'
  warnings.warn(message, UserWarning)
2025-07-04 18:38:34,699 - __main__ - INFO - --- 开始设置数据库 ---
2025-07-04 18:38:34,699 - __main__ - INFO - 正在删除所有旧表...
2025-07-04 18:38:34,779 - __main__ - INFO - 正在创建所有新表...
2025-07-04 18:38:34,925 - __main__ - INFO - --- 数据库表已创建 ---
2025-07-04 18:38:34,925 - __main__ - INFO - --- 开始填充数据库 ---
2025-07-04 18:38:34,945 - app.data.init - INFO - 未找到管理员账户，正在创建...
2025-07-04 18:38:35,189 - app.data.init - INFO - 管理员用户创建成功
2025-07-04 18:38:35,209 - app.crud.level - INFO - 创建了新关卡: 初级挑战 (order: 1)
2025-07-04 18:38:35,209 - app.data.init - INFO - 关卡 '初级挑战' 创建成功
2025-07-04 18:38:35,219 - app.crud.email - INFO - 创建了新邮件: 您的账户已被锁定 (level_id: 1)
2025-07-04 18:38:35,219 - app.data.init - INFO - 邮件 '您的账户已被锁定' 创建成功
2025-07-04 18:38:35,239 - app.crud.email - INFO - 创建了新邮件: 本周新闻简报 (level_id: 1)
2025-07-04 18:38:35,239 - app.data.init - INFO - 邮件 '本周新闻简报' 创建成功
2025-07-04 18:38:35,269 - app.crud.email - INFO - 创建了新邮件: 您的订单发货通知 (level_id: 1)
2025-07-04 18:38:35,269 - app.data.init - INFO - 邮件 '您的订单发货通知' 创建成功
2025-07-04 18:38:35,290 - app.crud.email - INFO - 创建了新邮件: 今日天气预报 (level_id: 1)
2025-07-04 18:38:35,290 - app.data.init - INFO - 邮件 '今日天气预报' 创建成功
2025-07-04 18:38:35,303 - app.crud.email - INFO - 创建了新邮件: 您有5条未读消息 (level_id: 1)
2025-07-04 18:38:35,303 - app.data.init - INFO - 邮件 '您有5条未读消息' 创建成功
2025-07-04 18:38:35,309 - app.crud.email - INFO - 创建了新邮件: eBay购物小贴士 (level_id: 1)
2025-07-04 18:38:35,309 - app.data.init - INFO - 邮件 'eBay购物小贴士' 创建成功
2025-07-04 18:38:35,330 - app.crud.level - INFO - 创建了新关卡: 中级挑战 (order: 2)
2025-07-04 18:38:35,330 - app.data.init - INFO - 关卡 '中级挑战' 创建成功
2025-07-04 18:38:35,350 - app.crud.email - INFO - 创建了新邮件: 您的Microsoft账户需要更新 (level_id: 2)
2025-07-04 18:38:35,350 - app.data.init - INFO - 邮件 '您的Microsoft账户需要更新' 创建成功
2025-07-04 18:38:35,360 - app.crud.email - INFO - 创建了新邮件: 您的Amazon订单确认 #123-4567890 (level_id: 2)
2025-07-04 18:38:35,360 - app.data.init - INFO - 邮件 '您的Amazon订单确认 #123-4567890' 创建成功
2025-07-04 18:38:35,380 - app.crud.email - INFO - 创建了新邮件: 您的付款已处理 (level_id: 2)
2025-07-04 18:38:35,380 - app.data.init - INFO - 邮件 '您的付款已处理' 创建成功
2025-07-04 18:38:35,390 - app.crud.email - INFO - 创建了新邮件: 本周音乐推荐 (level_id: 2)
2025-07-04 18:38:35,390 - app.data.init - INFO - 邮件 '本周音乐推荐' 创建成功
2025-07-04 18:38:35,400 - app.crud.email - INFO - 创建了新邮件: 重要：您的银行账户异常活动 (level_id: 2)
2025-07-04 18:38:35,410 - app.data.init - INFO - 邮件 '重要：您的银行账户异常活动' 创建成功
2025-07-04 18:38:35,420 - app.crud.email - INFO - 创建了新邮件: 纽约时报：每日头条新闻 (level_id: 2)
